timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.349274,741.137364,lagrangian,medium,2,train,8,0.9188293339662638,0.9188293339662638,0.0,0,1000,,5.0,0.0,0.0,0.0,,
2000,2.709146,738.238988,lagrangian,medium,2,train,15,-0.3013941223554717,-0.3013941223554717,1.0,0,1000,,5.0,0.0,0.0,0.0,,
3000,4.477353,670.0381,lagrangian,medium,2,train,13,-0.29663971009743806,-0.29663971009743806,0.0,0,1000,,5.0,0.0,0.0,0.0,,
4000,5.814679,687.913688,lagrangian,medium,2,train,8,-0.14684687090967463,-0.14684687090967463,0.0,0,1000,,5.0,0.0,0.0,0.0,,
5000,7.564855,660.950888,lagrangian,medium,2,train,22,0.16708068685875,0.16708068685875,214.0,0,1000,,5.0,0.0,0.0,10.450000000000001,,
6000,8.937518,671.32706,lagrangian,medium,2,train,11,-1.3659921415683072,-1.3659921415683072,0.0,0,1000,,5.0,10.450000000000001,10.450000000000001,10.200000000000001,,
7000,10.693406,654.608748,lagrangian,medium,2,train,18,-1.4250717088681426,-1.4250717088681426,0.0,0,1000,,5.0,10.200000000000001,10.200000000000001,9.950000000000001,,
8000,12.123327,659.884386,lagrangian,medium,2,train,11,-0.25693385234275956,-0.25693385234275956,0.0,0,1000,,5.0,9.950000000000001,9.950000000000001,9.700000000000001,,
9000,13.927906,646.184512,lagrangian,medium,2,train,8,2.366910248446937,2.366910248446937,0.0,1,1000,,5.0,9.700000000000001,9.700000000000001,9.450000000000001,,
10000,15.277859,654.541789,lagrangian,medium,2,train,7,-0.23593766895640877,-0.23593766895640877,0.0,0,1000,,5.0,9.450000000000001,9.450000000000001,9.200000000000001,,
11000,17.025532,646.088288,lagrangian,medium,2,train,2,-1.0204096844134316,-1.0204096844134316,0.0,0,1000,,5.0,9.200000000000001,9.200000000000001,8.950000000000001,,
12000,18.376683,653.001256,lagrangian,medium,2,train,17,0.026325998958393493,-492.2236740010416,55.0,0,1000,,5.0,8.950000000000001,8.950000000000001,11.450000000000001,,
