timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.279196,781.738459,reward_penalty,easy,1,train,5,1.1176528651792057,1.1176528651792057,0.0,0,1000,0.3,,,,,,
2000,2.54907,784.598835,reward_penalty,easy,1,train,11,-1.0535950424099867,-1.0535950424099867,0.0,0,1000,0.3,,,,,,
3000,4.528793,662.427139,reward_penalty,easy,1,train,12,-0.4456149763009307,-0.4456149763009307,0.0,0,1000,0.3,,,,,,
4000,5.894389,678.611046,reward_penalty,easy,1,train,8,-1.4215913550624069,-1.4215913550624069,0.0,0,1000,0.3,,,,,,
5000,7.586853,659.034397,reward_penalty,easy,1,train,31,0.4078071477236562,-33.19219285227632,112.0,0,1000,0.3,,,,,,
6000,8.871935,676.289512,reward_penalty,easy,1,train,9,1.9437584678467248,1.9437584678467248,0.0,0,1000,0.3,,,,,,
7000,10.548707,663.588178,reward_penalty,easy,1,train,11,-0.279864291952471,-0.279864291952471,0.0,0,1000,0.3,,,,,,
8000,11.826695,676.435585,reward_penalty,easy,1,train,5,1.5205273415290346,1.5205273415290346,0.0,0,1000,0.3,,,,,,
9000,13.49991,666.670932,reward_penalty,easy,1,train,15,-2.9791226590690463,-2.9791226590690463,0.0,0,1000,0.3,,,,,,
10000,14.799536,675.696692,reward_penalty,easy,1,train,0,-3.7250162709039776,-3.7250162709039776,0.0,0,1000,0.3,,,,,,
11000,16.6962,658.832279,reward_penalty,easy,1,train,16,-3.048227876210501,-3.048227876210501,0.0,0,1000,0.3,,,,,,
12000,18.021568,665.868649,reward_penalty,easy,1,train,1,-3.674126235089036,-13.274126235089025,32.0,0,1000,0.3,,,,,,
13000,19.707902,659.633734,reward_penalty,easy,1,train,12,0.6800757109968663,0.6800757109968663,0.0,0,1000,0.3,,,,,,
14000,20.999286,666.689204,reward_penalty,easy,1,train,7,-2.453218166997988,-2.453218166997988,0.0,0,1000,0.3,,,,,,
15000,22.735767,659.753306,reward_penalty,easy,1,train,13,0.8948982200567681,0.8948982200567681,0.0,0,1000,0.3,,,,,,
16000,24.019242,666.132495,reward_penalty,easy,1,train,28,-1.8406363828414865,-1.8406363828414865,0.0,0,1000,0.3,,,,,,
17000,25.694753,661.613559,reward_penalty,easy,1,train,6,-0.5542201278926921,-0.5542201278926921,0.0,0,1000,0.3,,,,,,
18000,27.13654,663.312183,reward_penalty,easy,1,train,25,0.5988879138336438,-5.701112086166359,21.0,0,1000,0.3,,,,,,
19000,28.830534,659.023434,reward_penalty,easy,1,train,18,-0.500680395475342,-0.500680395475342,0.0,0,1000,0.3,,,,,,
20000,30.122201,663.962042,reward_penalty,easy,1,train,20,0.9159013474493369,-5.084098652550663,20.0,0,1000,0.3,,,,,,
