timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.359532,735.545068,reward_penalty,easy,0,train,12,-0.323927663790728,-0.323927663790728,0.0,0,1000,0.0,,,,,,
2000,2.772203,721.446413,reward_penalty,easy,0,train,15,-0.1855454302018309,-0.1855454302018309,0.0,0,1000,0.0,,,,,,
3000,4.777577,627.932647,reward_penalty,easy,0,train,21,-0.19792391549395094,-0.19792391549395094,0.0,0,1000,0.0,,,,,,
4000,6.142121,651.240405,reward_penalty,easy,0,train,0,-1.3348047403260037,-1.3348047403260037,0.0,0,1000,0.0,,,,,,
5000,7.913572,631.825532,reward_penalty,easy,0,train,3,1.5730981519241962,1.5730981519241962,0.0,1,1000,0.0,,,,,,
6000,9.266323,647.505728,reward_penalty,easy,0,train,27,-0.22317455987357704,-0.22317455987357704,0.0,0,1000,0.0,,,,,,
7000,11.040629,634.021623,reward_penalty,easy,0,train,3,-0.8492895433984194,-0.8492895433984194,0.0,0,1000,0.0,,,,,,
8000,12.391187,645.619921,reward_penalty,easy,0,train,7,-1.224182213616594,-1.224182213616594,0.0,0,1000,0.0,,,,,,
9000,14.164064,635.410643,reward_penalty,easy,0,train,9,-0.2785914506441971,-0.2785914506441971,0.0,0,1000,0.0,,,,,,
10000,15.529576,643.93244,reward_penalty,easy,0,train,19,-0.4364216078647858,-0.4364216078647858,0.0,0,1000,0.0,,,,,,
11000,17.304731,635.664177,reward_penalty,easy,0,train,21,0.02703792159933638,0.02703792159933638,0.0,0,1000,0.0,,,,,,
12000,18.672935,642.641177,reward_penalty,easy,0,train,18,0.8710002193164693,0.8710002193164693,0.0,0,1000,0.0,,,,,,
13000,20.639068,629.873235,reward_penalty,easy,0,train,4,1.90420335676001,1.90420335676001,0.0,1,1000,0.0,,,,,,
14000,22.025903,635.615109,reward_penalty,easy,0,train,23,0.7391341838816621,0.7391341838816621,205.0,0,1000,0.0,,,,,,
15000,23.868726,628.437255,reward_penalty,easy,0,train,6,0.7459830717912718,0.7459830717912718,0.0,0,1000,0.0,,,,,,
16000,25.213302,634.585565,reward_penalty,easy,0,train,24,2.5174911693266613,2.5174911693266613,0.0,1,1000,0.0,,,,,,
17000,27.009654,629.404463,reward_penalty,easy,0,train,24,4.162903386004896,4.162903386004896,0.0,2,1000,0.0,,,,,,
18000,28.446505,632.766563,reward_penalty,easy,0,train,12,-0.988270308475867,-0.988270308475867,473.0,0,1000,0.0,,,,,,
19000,30.295062,627.164817,reward_penalty,easy,0,train,26,0.9922625075528382,0.9922625075528382,0.0,0,1000,0.0,,,,,,
20000,31.643946,632.032272,reward_penalty,easy,0,train,1,1.0247944851000668,1.0247944851000668,0.0,0,1000,0.0,,,,,,
21000,33.428086,628.214161,reward_penalty,easy,0,train,6,0.2132607428370763,0.2132607428370763,139.0,0,1000,0.0,,,,,,
22000,34.792833,632.314056,reward_penalty,easy,0,train,7,0.36461608134610257,0.36461608134610257,0.0,0,1000,0.0,,,,,,
23000,36.582445,628.71679,reward_penalty,easy,0,train,23,4.167253972869755,4.167253972869755,45.0,1,1000,0.0,,,,,,
24000,37.917389,632.954902,reward_penalty,easy,0,train,14,6.216769311757306,6.216769311757306,35.0,2,1000,0.0,,,,,,
25000,39.716121,629.467242,reward_penalty,easy,0,train,24,4.236169267656878,4.236169267656878,0.0,2,1000,0.0,,,,,,
26000,41.120324,632.290668,reward_penalty,easy,0,train,17,6.284759167497305,6.284759167497305,0.0,3,1000,0.0,,,,,,
27000,42.99904,627.92093,reward_penalty,easy,0,train,5,1.308716251011111,1.308716251011111,485.0,0,1000,0.0,,,,,,
28000,44.364007,631.142182,reward_penalty,easy,0,train,25,1.6795781612293035,1.6795781612293035,54.0,0,1000,0.0,,,,,,
29000,46.175057,628.044644,reward_penalty,easy,0,train,13,5.469691853588093,5.469691853588093,0.0,2,1000,0.0,,,,,,
30000,47.514473,631.38651,reward_penalty,easy,0,train,8,-0.11732165067030076,-0.11732165067030076,0.0,0,1000,0.0,,,,,,
31000,49.309324,628.684277,reward_penalty,easy,0,train,9,1.9240000974283458,1.9240000974283458,11.0,0,1000,0.0,,,,,,
32000,50.656675,631.703462,reward_penalty,easy,0,train,20,5.826317977465894,5.826317977465894,27.0,2,1000,0.0,,,,,,
33000,52.446968,629.206962,reward_penalty,easy,0,train,19,6.2523693426325675,6.2523693426325675,0.0,3,1000,0.0,,,,,,
34000,53.776484,632.246567,reward_penalty,easy,0,train,16,0.5248078498273647,0.5248078498273647,57.0,0,1000,0.0,,,,,,
35000,55.572948,629.802784,reward_penalty,easy,0,train,19,1.5816602592900657,1.5816602592900657,234.0,1,1000,0.0,,,,,,
36000,56.894489,632.750167,reward_penalty,easy,0,train,5,11.281756775512408,11.281756775512408,22.0,5,1000,0.0,,,,,,
37000,58.700996,630.312936,reward_penalty,easy,0,train,30,5.794464810541066,5.794464810541066,68.0,3,1000,0.0,,,,,,
38000,60.032318,632.992336,reward_penalty,easy,0,train,15,4.928796648717677,4.928796648717677,15.0,1,1000,0.0,,,,,,
39000,61.929247,629.750872,reward_penalty,easy,0,train,15,6.512513831630304,6.512513831630304,0.0,2,1000,0.0,,,,,,
40000,63.293076,631.980611,reward_penalty,easy,0,train,0,2.036486866101646,2.036486866101646,0.0,2,1000,0.0,,,,,,
41000,65.06423,630.146512,reward_penalty,easy,0,train,18,10.140844746465227,10.140844746465227,0.0,4,1000,0.0,,,,,,
