timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.531678,652.876696,lagrangian,hard,1,train,5,1.0983268637798194,1.0983268637798194,0.0,0,1000,,5.0,0.0,0.0,0.0,,
2000,2.986138,669.76043,lagrangian,hard,1,train,11,-0.881092083292931,-0.881092083292931,0.0,0,1000,,5.0,0.0,0.0,0.0,,
3000,4.87199,615.764289,lagrangian,hard,1,train,12,0.1860296723886643,0.1860296723886643,0.0,0,1000,,5.0,0.0,0.0,0.0,,
4000,6.327508,632.160052,lagrangian,hard,1,train,8,-0.23291165968071126,-0.23291165968071126,0.0,0,1000,,5.0,0.0,0.0,0.0,,
5000,8.197572,609.935427,lagrangian,hard,1,train,31,-0.045677578566219346,-0.045677578566219346,0.0,0,1000,,5.0,0.0,0.0,0.0,,
6000,9.713274,617.711137,lagrangian,hard,1,train,9,0.19770786408438212,0.19770786408438212,0.0,0,1000,,5.0,0.0,0.0,0.0,,
7000,11.595403,603.687296,lagrangian,hard,1,train,11,-0.4385301614800383,-0.4385301614800383,0.0,0,1000,,5.0,0.0,0.0,0.0,,
8000,13.052237,612.921612,lagrangian,hard,1,train,5,0.9217913240161519,0.9217913240161519,0.0,0,1000,,5.0,0.0,0.0,0.0,,
9000,14.917461,603.319684,lagrangian,hard,1,train,15,-0.7535741028892207,-0.7535741028892207,37.0,0,1000,,5.0,0.0,0.0,1.6,,
10000,16.389376,610.151222,lagrangian,hard,1,train,0,-0.6366026486422358,-136.63660264864225,85.0,0,1000,,5.0,1.6,1.6,5.6,,
11000,18.225415,603.552665,lagrangian,hard,1,train,16,1.7947507396124145,-2143.005249260387,383.0,0,1000,,5.0,5.6,5.6,24.5,,
12000,19.670151,610.061305,lagrangian,hard,1,train,1,-0.8308932768808128,-637.8308932768804,26.0,0,1000,,5.0,24.5,24.5,25.55,,
13000,21.528696,603.845106,lagrangian,hard,1,train,12,0.12164364826617025,-2427.128356351733,95.0,0,1000,,5.0,25.55,25.55,30.05,,
14000,23.01133,608.395832,lagrangian,hard,1,train,7,-0.3089269287849685,-0.3089269287849685,0.0,0,1000,,5.0,30.05,30.05,29.8,,
15000,25.448793,589.418776,lagrangian,hard,1,train,13,0.2953698800855773,0.2953698800855773,0.0,0,1000,,5.0,29.8,29.8,29.55,,
16000,27.021495,592.121078,lagrangian,hard,1,train,28,0.4596907568510564,0.4596907568510564,0.0,1,1000,,5.0,29.55,29.55,29.3,,
17000,29.027627,585.648882,lagrangian,hard,1,train,6,-0.2616128782622913,-88.16161287826232,3.0,0,1000,,5.0,29.3,29.3,29.2,,
18000,30.491627,590.325888,lagrangian,hard,1,train,25,0.9874430450683567,-1021.0125569549311,35.0,0,1000,,5.0,29.2,29.2,30.7,,
19000,32.36634,587.029533,lagrangian,hard,1,train,18,-0.4573929191339945,-0.4573929191339945,0.0,0,1000,,5.0,30.7,30.7,30.45,,
20000,33.816569,591.425986,lagrangian,hard,1,train,20,-1.0370851356706918,-1.0370851356706918,0.0,0,1000,,5.0,30.45,30.45,30.2,,
21000,35.669745,588.734171,lagrangian,hard,1,train,30,0.7717848296111323,0.7717848296111323,0.0,0,1000,,5.0,30.2,30.2,29.95,,
22000,37.163186,591.983592,lagrangian,hard,1,train,5,0.8408295457677297,-3802.809170454232,127.0,0,1000,,5.0,29.95,29.95,36.05,,
23000,39.030295,589.285778,lagrangian,hard,1,train,18,0.7960038477381325,-4217.05399615226,117.0,0,1000,,5.0,36.05,36.05,41.65,,
24000,40.518033,592.328778,lagrangian,hard,1,train,20,0.6465438889384973,-7246.453456111059,174.0,0,1000,,5.0,41.65,41.65,50.1,,
25000,42.379418,589.908949,lagrangian,hard,1,train,11,0.9977557013362346,-500.00224429866404,10.0,0,1000,,5.0,50.1,50.1,50.35,,
26000,43.827763,593.231225,lagrangian,hard,1,train,28,0.5919936915516304,0.5919936915516304,0.0,1,1000,,5.0,50.35,50.35,50.1,,
27000,45.730856,590.410914,lagrangian,hard,1,train,10,0.936315135294143,-1552.1636848647065,31.0,0,1000,,5.0,50.1,50.1,51.4,,
28000,47.519188,589.235586,lagrangian,hard,1,train,28,-0.21635486990263064,-0.21635486990263064,0.0,0,1000,,5.0,51.4,51.4,51.15,,
29000,49.844868,581.804998,lagrangian,hard,1,train,29,-0.2499942211995546,-1023.2499942211982,20.0,0,1000,,5.0,51.15,51.15,51.9,,
30000,51.70094,580.260141,lagrangian,hard,1,train,14,0.2696989731841912,0.2696989731841912,0.0,0,1000,,5.0,51.9,51.9,51.65,,
31000,53.928898,574.8309,lagrangian,hard,1,train,18,-1.0394901837675123,-2531.8894901837666,49.0,0,1000,,5.0,51.65,51.65,53.85,,
32000,55.443415,577.16496,lagrangian,hard,1,train,4,0.6367023363034529,-20031.56329766369,372.0,0,1000,,5.0,53.85,53.85,72.2,,
33000,57.491996,573.992895,lagrangian,hard,1,train,23,-1.789022459647208,-1.789022459647208,0.0,1,1000,,5.0,72.2,72.2,71.95,,
34000,59.022035,576.05597,lagrangian,hard,1,train,23,-1.1982573233322091,-1.1982573233322091,0.0,1,1000,,5.0,71.95,71.95,71.7,,
35000,61.015673,573.623047,lagrangian,hard,1,train,9,0.04937138080470138,-29755.450628619168,415.0,0,1000,,5.0,71.7,71.7,92.2,,
36000,62.753095,573.676823,lagrangian,hard,1,train,17,1.3093254700168495,-3963.2906745299847,43.0,0,1000,,5.0,92.2,92.2,94.10000000000001,,
37000,64.693969,571.923439,lagrangian,hard,1,train,23,0.12697987857156723,-2352.373020121427,25.0,0,1000,,5.0,94.10000000000001,94.10000000000001,95.10000000000001,,
38000,66.19224,574.085373,lagrangian,hard,1,train,30,-0.8002446382880848,-15977.600244638288,168.0,0,1000,,5.0,95.10000000000001,95.10000000000001,103.25000000000001,,
39000,68.147377,572.289047,lagrangian,hard,1,train,0,0.6315926990309393,0.6315926990309393,0.0,0,1000,,5.0,103.25000000000001,103.25000000000001,103.00000000000001,,
40000,69.989168,571.516976,lagrangian,hard,1,train,22,-0.927717490771087,-0.927717490771087,0.0,0,1000,,5.0,103.00000000000001,103.00000000000001,102.75000000000001,,
41000,72.369037,566.540532,lagrangian,hard,1,train,13,0.10456268303834293,0.10456268303834293,0.0,0,1000,,5.0,102.75000000000001,102.75000000000001,102.50000000000001,,
42000,74.0176,567.432577,lagrangian,hard,1,train,9,-0.4745549750507778,-17322.974554975066,169.0,0,1000,,5.0,102.50000000000001,102.50000000000001,110.70000000000002,,
43000,75.699689,568.033997,lagrangian,hard,1,train,9,-0.4132093131877759,-8302.913209313207,75.0,0,1000,,5.0,110.70000000000002,110.70000000000002,114.20000000000002,,
44000,77.970118,564.318698,lagrangian,hard,1,train,7,0.8102266831329534,0.8102266831329534,0.0,0,1000,,5.0,114.20000000000002,114.20000000000002,113.95000000000002,,
45000,79.468521,566.261925,lagrangian,hard,1,train,31,0.7883499326590118,0.7883499326590118,0.0,0,1000,,5.0,113.95000000000002,113.95000000000002,113.70000000000002,,
46000,81.622155,563.572435,lagrangian,hard,1,train,29,0.08741048396326001,-31153.712589515995,274.0,0,1000,,5.0,113.70000000000002,113.70000000000002,127.15000000000002,,
47000,83.383735,563.659047,lagrangian,hard,1,train,22,0.7265867225589405,-8899.77341327746,70.0,0,1000,,5.0,127.15000000000002,127.15000000000002,130.40000000000003,,
48000,85.45725,561.684313,lagrangian,hard,1,train,25,1.6640572942341603,-18645.53594270577,143.0,0,1000,,5.0,130.40000000000003,130.40000000000003,137.30000000000004,,
49000,87.015147,563.120325,lagrangian,hard,1,train,1,-2.027076752181472,-2.027076752181472,0.0,0,1000,,5.0,137.30000000000004,137.30000000000004,137.05000000000004,,
50000,89.101094,561.160307,lagrangian,hard,1,train,0,-0.6614709045563782,-0.6614709045563782,0.0,0,1000,,5.0,137.05000000000004,137.05000000000004,136.80000000000004,,
51000,90.745112,562.013714,lagrangian,hard,1,train,28,-1.0445787958442494,-1.0445787958442494,0.0,0,1000,,5.0,136.80000000000004,136.80000000000004,136.55000000000004,,
52000,92.828223,560.174428,lagrangian,hard,1,train,17,-0.9071022846521251,-0.9071022846521251,0.0,0,1000,,5.0,136.55000000000004,136.55000000000004,136.30000000000004,,
53000,94.41979,561.322967,lagrangian,hard,1,train,8,-0.9197752164135709,-0.9197752164135709,0.0,0,1000,,5.0,136.30000000000004,136.30000000000004,136.05000000000004,,
