timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.471253,679.690384,lagrangian,hard,1,train,5,1.0983268637798194,1.0983268637798194,0.0,0,1000,,10.0,0.0,0.0,0.0,,
2000,2.98217,670.651154,lagrangian,hard,1,train,11,-0.881092083292931,-0.881092083292931,0.0,0,1000,,10.0,0.0,0.0,0.0,,
3000,5.036125,595.69549,lagrangian,hard,1,train,12,0.1860296723886643,0.1860296723886643,0.0,0,1000,,10.0,0.0,0.0,0.0,,
4000,6.516063,613.867214,lagrangian,hard,1,train,8,-0.23291165968071126,-0.23291165968071126,0.0,0,1000,,10.0,0.0,0.0,0.0,,
5000,8.441264,592.328054,lagrangian,hard,1,train,31,-0.045677578566219346,-0.045677578566219346,0.0,0,1000,,10.0,0.0,0.0,0.0,,
6000,9.983644,600.982657,lagrangian,hard,1,train,9,0.19770786408438212,0.19770786408438212,0.0,0,1000,,10.0,0.0,0.0,0.0,,
7000,11.900539,588.208429,lagrangian,hard,1,train,11,-0.4385301614800383,-0.4385301614800383,0.0,0,1000,,10.0,0.0,0.0,0.0,,
8000,13.333212,600.005276,lagrangian,hard,1,train,5,0.9217913240161519,0.9217913240161519,0.0,0,1000,,10.0,0.0,0.0,0.0,,
9000,15.178563,592.941268,lagrangian,hard,1,train,15,-0.7535741028892207,-0.7535741028892207,37.0,0,1000,,10.0,0.0,0.0,1.35,,
10000,16.603221,602.292603,lagrangian,hard,1,train,0,-0.6366026486422358,-115.38660264864224,85.0,0,1000,,10.0,1.35,1.35,5.1,,
11000,18.423311,597.069501,lagrangian,hard,1,train,16,1.7650063416411514,-2007.6349936583592,394.0,0,1000,,10.0,5.1,5.1,24.300000000000004,,
12000,19.849798,604.539978,lagrangian,hard,1,train,1,-0.6555504283750067,-0.6555504283750067,0.0,0,1000,,10.0,24.300000000000004,24.300000000000004,23.800000000000004,,
13000,21.694177,599.238999,lagrangian,hard,1,train,12,0.00267589208183594,0.00267589208183594,0.0,0,1000,,10.0,23.800000000000004,23.800000000000004,23.300000000000004,,
14000,23.151367,604.715806,lagrangian,hard,1,train,7,-0.29528682695880004,-0.29528682695880004,0.0,0,1000,,10.0,23.300000000000004,23.300000000000004,22.800000000000004,,
15000,25.03968,599.049109,lagrangian,hard,1,train,13,1.700224364813961,1.700224364813961,0.0,1,1000,,10.0,22.800000000000004,22.800000000000004,22.300000000000004,,
16000,26.474095,604.364297,lagrangian,hard,1,train,28,-0.3614044143588826,-0.3614044143588826,0.0,0,1000,,10.0,22.300000000000004,22.300000000000004,21.800000000000004,,
17000,28.286519,600.992922,lagrangian,hard,1,train,6,-1.2705115632865003,-1.2705115632865003,0.0,0,1000,,10.0,21.800000000000004,21.800000000000004,21.300000000000004,,
18000,29.716785,605.718198,lagrangian,hard,1,train,25,0.07935212538975955,-3897.8206478746115,183.0,0,1000,,10.0,21.300000000000004,21.300000000000004,29.950000000000003,,
19000,31.654579,600.229017,lagrangian,hard,1,train,18,-1.4926697796320882,-14587.142669779625,487.0,0,1000,,10.0,29.950000000000003,29.950000000000003,53.800000000000004,,
20000,33.084372,604.514958,lagrangian,hard,1,train,20,-3.265309385850535,-3.265309385850535,0.0,0,1000,,10.0,53.800000000000004,53.800000000000004,53.300000000000004,,
21000,34.91409,601.476305,lagrangian,hard,1,train,30,1.0664485217107615,1.0664485217107615,0.0,1,1000,,10.0,53.300000000000004,53.300000000000004,52.800000000000004,,
22000,36.31586,605.795854,lagrangian,hard,1,train,5,0.6801940514048654,0.6801940514048654,0.0,0,1000,,10.0,52.800000000000004,52.800000000000004,52.300000000000004,,
23000,38.458704,598.043995,lagrangian,hard,1,train,18,-1.7162289138937223,-1.7162289138937223,0.0,0,1000,,10.0,52.300000000000004,52.300000000000004,51.800000000000004,,
24000,39.895899,601.565522,lagrangian,hard,1,train,20,-3.573304271315501,-3.573304271315501,0.0,0,1000,,10.0,51.800000000000004,51.800000000000004,51.300000000000004,,
25000,41.772365,598.481734,lagrangian,hard,1,train,11,-0.8875411688934904,-2104.1875411688907,41.0,0,1000,,10.0,51.300000000000004,51.300000000000004,52.85,,
26000,43.230206,601.43126,lagrangian,hard,1,train,28,-3.601546629139302,-3.601546629139302,0.0,0,1000,,10.0,52.85,52.85,52.35,,
27000,45.282352,596.258694,lagrangian,hard,1,train,10,-2.3069315697616783,-2.3069315697616783,0.0,0,1000,,10.0,52.35,52.35,51.85,,
28000,46.872373,597.366749,lagrangian,hard,1,train,28,1.0544918631746167,1.0544918631746167,0.0,1,1000,,10.0,51.85,51.85,51.35,,
29000,48.838769,593.790511,lagrangian,hard,1,train,29,-1.9331495060281934,-11709.733149506023,228.0,0,1000,,10.0,51.35,51.35,62.25,,
30000,50.374769,595.536161,lagrangian,hard,1,train,14,-3.5517805983576647,-4112.051780598362,66.0,0,1000,,10.0,62.25,62.25,65.05,,
