timesteps,elapsed_seconds,steps_per_second,baseline,variant,run_seed,split,layout_seed,episode_return,episode_penalized_return,episode_cost,goals_achieved,episode_length,penalty_coeff,budget,lagrangian_lambda,lagrangian_lambda_before_update,lagrangian_lambda_after_update,episode_shield_interventions,shield_intervention_rate
1000,1.315963,759.897523,lagrangian,medium,2,train,8,0.9188293339662638,0.9188293339662638,0.0,0,1000,,0.0,0.0,0.0,0.0,,
2000,2.62407,762.173713,lagrangian,medium,2,train,15,-0.3013941223554717,-0.3013941223554717,1.0,0,1000,,0.0,0.0,0.0,0.05,,
3000,4.360661,687.968286,lagrangian,medium,2,train,13,-0.29663971009743806,-0.29663971009743806,0.0,0,1000,,0.0,0.05,0.05,0.05,,
4000,5.68455,703.661195,lagrangian,medium,2,train,8,-0.14684687090967463,-0.14684687090967463,0.0,0,1000,,0.0,0.05,0.05,0.05,,
5000,7.399654,675.706916,lagrangian,medium,2,train,22,0.16708068685875,-10.532919313141257,214.0,0,1000,,0.0,0.05,0.05,10.750000000000002,,
6000,8.71239,688.674151,lagrangian,medium,2,train,11,-1.3659921415683072,-1.3659921415683072,0.0,0,1000,,0.0,10.750000000000002,10.750000000000002,10.750000000000002,,
7000,10.411105,672.358399,lagrangian,medium,2,train,18,-1.0325852092389647,-1785.5325852092371,166.0,0,1000,,0.0,10.750000000000002,10.750000000000002,19.050000000000004,,
8000,11.771776,679.591172,lagrangian,medium,2,train,11,-3.012719537631891,-3.012719537631891,0.0,0,1000,,0.0,19.050000000000004,19.050000000000004,19.050000000000004,,
9000,13.54699,664.353993,lagrangian,medium,2,train,8,0.12241423122247763,-2800.22758576878,147.0,0,1000,,0.0,19.050000000000004,19.050000000000004,26.400000000000006,,
10000,14.854284,673.206297,lagrangian,medium,2,train,7,-1.4507933196501859,-1.4507933196501859,0.0,0,1000,,0.0,26.400000000000006,26.400000000000006,26.400000000000006,,
11000,16.565981,664.011229,lagrangian,medium,2,train,2,-2.044505591757731,-2.044505591757731,0.0,0,1000,,0.0,26.400000000000006,26.400000000000006,26.400000000000006,,
12000,17.894551,670.595065,lagrangian,medium,2,train,17,-0.7834388703271697,-0.7834388703271697,0.0,0,1000,,0.0,26.400000000000006,26.400000000000006,26.400000000000006,,
13000,19.621387,662.542183,lagrangian,medium,2,train,31,0.11101847169449286,0.11101847169449286,0.0,0,1000,,0.0,26.400000000000006,26.400000000000006,26.400000000000006,,
14000,20.939346,668.597664,lagrangian,medium,2,train,11,-0.7449229090921787,-0.7449229090921787,0.0,0,1000,,0.0,26.400000000000006,26.400000000000006,26.400000000000006,,
15000,22.713364,660.403957,lagrangian,medium,2,train,21,0.004877543817717989,0.004877543817717989,0.0,0,1000,,0.0,26.400000000000006,26.400000000000006,26.400000000000006,,
16000,24.015057,666.248555,lagrangian,medium,2,train,15,-0.702071421302064,-845.5020714213039,32.0,0,1000,,0.0,26.400000000000006,26.400000000000006,28.000000000000007,,
17000,25.764906,659.81212,lagrangian,medium,2,train,31,-0.323765502250283,-7644.3237655022485,273.0,1,1000,,0.0,28.000000000000007,28.000000000000007,41.650000000000006,,
18000,27.07494,664.821328,lagrangian,medium,2,train,31,-1.3967526893596123,-251.2967526893596,6.0,0,1000,,0.0,41.650000000000006,41.650000000000006,41.95,,
19000,28.815719,659.362257,lagrangian,medium,2,train,26,-2.8370207349541676,-2.8370207349541676,0.0,0,1000,,0.0,41.95,41.95,41.95,,
20000,30.139065,663.590504,lagrangian,medium,2,train,20,-2.8012975981717414,-2310.051297598174,55.0,0,1000,,0.0,41.95,41.95,44.7,,
21000,31.889975,658.51405,lagrangian,medium,2,train,28,-3.2091053104278475,-3.2091053104278475,0.0,0,1000,,0.0,44.7,44.7,44.7,,
22000,33.207107,662.508698,lagrangian,medium,2,train,20,0.3766732440709535,0.3766732440709535,0.0,0,1000,,0.0,44.7,44.7,44.7,,
23000,34.940258,658.266376,lagrangian,medium,2,train,5,-1.1261658637591825,-4962.826165863756,111.0,0,1000,,0.0,44.7,44.7,50.25,,
24000,36.247705,662.110815,lagrangian,medium,2,train,7,-1.3526625055663444,-1.3526625055663444,0.0,0,1000,,0.0,50.25,50.25,50.25,,
25000,37.983396,658.182257,lagrangian,medium,2,train,3,-2.5942873130501076,-2.5942873130501076,0.0,0,1000,,0.0,50.25,50.25,50.25,,
26000,39.300887,661.562607,lagrangian,medium,2,train,6,-0.8894015735754135,-9598.63940157358,191.0,0,1000,,0.0,50.25,50.25,59.8,,
27000,41.02076,658.20325,lagrangian,medium,2,train,4,-1.5758584874144186,-1.5758584874144186,0.0,0,1000,,0.0,59.8,59.8,59.8,,
28000,42.331194,661.450686,lagrangian,medium,2,train,10,-2.9675221149384483,-2.9675221149384483,0.0,0,1000,,0.0,59.8,59.8,59.8,,
29000,44.066958,658.089366,lagrangian,medium,2,train,11,-4.307634106060263,-4.307634106060263,0.0,0,1000,,0.0,59.8,59.8,59.8,,
30000,45.378925,661.09977,lagrangian,medium,2,train,19,-1.7544905807562556,-2333.9544905807516,39.0,0,1000,,0.0,59.8,59.8,61.75,,
